timestamp,ticker1_y,ticker2_x,spread
2025-08-28 13:04:01,807.55,963.7,19.917989999999918
2025-08-28 13:04:06,807.55,963.5,20.081449999999904
2025-08-28 13:04:11,807.8,963.5,20.331449999999904
2025-08-28 13:04:16,807.35,963.7,19.717989999999986
2025-08-28 13:04:21,807.35,963.7,19.717989999999986
2025-08-28 13:04:26,807.8,963.7,20.167989999999918
2025-08-28 13:04:31,807.8,963.7,20.167989999999918
2025-08-28 13:04:36,807.8,963.6,20.24971999999991
2025-08-28 13:04:41,807.5,963.6,19.949719999999957
2025-08-28 13:04:46,807.5,963.7,19.867989999999963
